et_date|~|event_type|~|count
2026-08-25|~|9m_ep_detected|~|6
2026-08-25|~|ep_rt_sustain_undecidable|~|4
2026-08-25|~|ep_catalyst_provenance|~|4
2026-08-25|~|ep_rt_tick_quality_reject|~|4
2026-08-25|~|ep_rt_rvol_gate_flip|~|3
2026-08-25|~|intraday_ma_pullback|~|3
2026-08-25|~|ep_tinycap_observed|~|2
2026-08-25|~|ep_provenance_daily|~|1
2026-08-25|~|health_heartbeat_ok|~|1
2026-08-25|~|watchdog_heartbeat|~|1
2026-08-25|~|intraday_support_test|~|1
2026-08-25|~|mna_filter_fired|~|1
2026-08-25|~|stop_refresh_ran|~|1
2026-08-25|~|unified_allocation_decided|~|1
2026-08-25|~|ep_rt_corp_action_hold|~|1
2026-08-25|~|ep_rt_prev_close_mismatch|~|1
(595 rows)
