ticker|alert_date|score_tier|ep_score|gap_pct|catalyst_quality|source|detected_et|created_et
VERA|2026-08-14|HIGH|86.4|14.23|game_changer|live|2026-08-14 07:25:00|2026-08-14 07:25:13
ARGX|2026-08-17|HIGH|86.4|10.53|game_changer|live|2026-08-17 07:20:00|2026-08-17 07:20:13
CBRS|2026-08-17|none|60|12.78|strong|live|2026-08-17 09:55:00|2026-08-17 09:55:24
AMLX|2026-08-18|HIGH|96|21.33|game_changer|live|2026-08-18 07:20:00|2026-08-18 07:20:01
MRNA|2026-08-19|HIGH|115.2|33.1|strong|live|2026-08-19 07:10:00|2026-08-19 07:10:01
MRVL|2026-08-19|HIGH|69.1|11.38|strong|live|2026-08-19 08:50:00|2026-08-19 08:50:18
TEM|2026-08-19|none|51.6|16.76|routine|live|2026-08-19 09:50:00|2026-08-19 09:50:41
TWST|2026-08-19|HIGH|84|16.7|strong|live|2026-08-19 09:55:00|2026-08-19 09:55:09
BULL|2026-08-20|HIGH|100.8|15.16|strong|live|2026-08-20 07:10:00|2026-08-20 07:10:03
RARE|2026-08-20|HIGH|72|11.39|game_changer|live|2026-08-20 07:00:00|2026-08-20 07:01:17
SCSC|2026-08-20|none|96|20.58|strong|live|2026-08-20 09:25:00|2026-08-20 09:25:26
UUUU|2026-08-21|HIGH|51.6|9.28|strong|live|2026-08-21 09:55:00|2026-08-21 09:55:30
