=== MIN ===
ticker|et_min|o|h|l|c|v
IREN|2026-04-02|32.35|35.03|31.35|34.77|30132163.0
IREN|2026-04-06|34.72|35.67|34.39|35.13|21668787.0
IREN|2026-04-07|34.48|35.77|33.19|35.74|23927450.0
IREN|2026-04-08|38.7|38.9|35.87|36.83|35500498.0
IREN|2026-04-09|36.43|38.1|35.25|37.06|27737088.0
IREN|2026-04-10|37.72|40.74|37.7|39.32|35312553.0
IREN|2026-04-13|38.46|43.53|38.31|43.07|39527334.0
IREN|2026-04-14|45.245|47.65|44.5|47.37|46960431.0
IREN|2026-04-15|47.25|48.86|46.22|48.82|32221210.0
NBIS|2026-03-20|120.475|123.7236|112.634|117.62|17420484.0
NBIS|2026-03-23|116.71|121.31|113.5501|114.15|13476723.0
NBIS|2026-03-24|116.175|117.8|112.0101|114.91|11885420.0
NBIS|2026-03-25|116.87|118.8|113.33|115.09|12135947.0
NBIS|2026-03-26|113.255|113.2999|105.41|105.97|13410876.0
NBIS|2026-03-27|105.83|106.26|100.27|100.82|11560277.0
NBIS|2026-03-30|102.24|102.24|89.6525|92.26|16694772.0
NBIS|2026-03-31|97.98|103.89|95.73|103.76|21554011.0
NBIS|2026-04-01|105.945|107.87|101.35|101.95|14927319.0
NBIS|2026-04-02|96.41|108.96|96.19|108.82|13695627.0
NBIS|2026-04-06|108.66|113.84|107.45|112.54|10929016.0
NBIS|2026-04-07|110.625|117.9|110.28|117.4|13143438.0
NBIS|2026-04-08|126.88|127.75|119.35|125.0|18687714.0
NBIS|2026-04-09|125.0|136.55|124.55|136.33|20416423.0
NBIS|2026-04-10|134.885|149.82|134.885|144.97|25795120.0
NBIS|2026-04-13|142.7|159.5|142.3|154.56|23449865.0
NBIS|2026-04-14|161.1|166.0999|158.5201|161.94|21991775.0
NBIS|2026-04-15|160.226|166.81|156.5|166.77|14365007.0
SMTC|2026-03-20|78.2|78.2|72.43|73.6|5441704.0
SMTC|2026-03-23|76.44|78.8499|75.42|76.52|3451769.0
SMTC|2026-03-24|75.05|79.95|74.519|77.95|3629418.0
SMTC|2026-03-25|79.35|81.74|78.475|80.04|2790660.0
SMTC|2026-03-26|77.79|78.57|73.74|74.16|1991636.0
SMTC|2026-03-27|74.41|76.18|71.28|72.16|3611559.0
SMTC|2026-03-30|78.02|78.5|69.16|70.61|5035493.0
SMTC|2026-03-31|72.84|77.33|71.72|76.89|2467837.0
SMTC|2026-04-01|78.42|82.46|78.0|80.04|1855237.0
SMTC|2026-04-02|75.5|83.37|75.5|82.65|2071364.0
SMTC|2026-04-06|82.65|85.6|82.33|82.64|1147642.0
SMTC|2026-04-07|82.64|84.37|80.25|83.08|1384380.0
SMTC|2026-04-08|88.07|90.94|86.43|86.95|2325591.0
SMTC|2026-04-09|87.01|90.5|86.745|88.66|1853797.0
SMTC|2026-04-10|92.1|92.1|84.28|85.22|3391455.0
SMTC|2026-04-13|85.72|91.91|85.475|91.83|2376122.0
SMTC|2026-04-14|93.335|93.825|88.76|90.12|2384465.0
SMTC|2026-04-15|90.06|93.85|89.03|93.27|2690014.0
STRL|2026-03-20|431.97|433.5|395.52|401.61|784576.0
STRL|2026-03-23|413.0|435.0|412.94|422.55|376927.0
STRL|2026-03-24|419.17|446.89|418.76|446.16|320217.0
STRL|2026-03-25|454.13|460.6431|448.0|452.92|443967.0
STRL|2026-03-26|440.48|444.95|410.72|415.93|314327.0
STRL|2026-03-27|415.93|427.76|415.82|420.24|306481.0
STRL|2026-03-30|421.94|425.0|375.08|382.55|749003.0
STRL|2026-03-31|395.01|411.5099|385.0|407.27|740908.0
STRL|2026-04-01|418.75|434.11|418.0|421.29|429255.0
STRL|2026-04-02|402.435|432.2399|402.0|416.34|350728.0
STRL|2026-04-06|416.125|419.26|392.05|393.71|457916.0
STRL|2026-04-07|388.74|388.95|362.59|382.22|802222.0
STRL|2026-04-08|413.58|425.0|409.52|423.35|550192.0
STRL|2026-04-09|423.35|450.34|423.35|435.65|505106.0
STRL|2026-04-10|437.1|455.0|430.01|446.36|339276.0
STRL|2026-04-13|441.22|461.425|440.0|459.02|389237.0
STRL|2026-04-14|465.91|472.6099|457.02|464.54|553474.0
STRL|2026-04-15|458.42|465.14|449.0|456.08|417865.0
=== END ===
