2026-08-19 17:02|~|job_cancelled_error|~|nightly_data_pull: cancelled — process shutdown/restart mid-run; outcome unknown, check downstream tables
2026-08-19 17:04|~|llm_truncation_live|~|theme_validation response TRUNCATED at 1000 output tokens (model claude-sonnet-5)
2026-08-19 17:04|~|validation_error|~|Validation parse error for 'Independent Oil Refiners' — tickers unchanged
2026-08-19 17:11|~|discovery_error|~|Theme discovery error — no new themes discovered this run
2026-08-19 17:52|~|llm_truncation_check|~|0 caller(s) truncating, 0 not reporting stop_reason, 1 within 10% of their ceiling
2026-08-20 16:45|~|stop_update_failed|~|ABCL: place_stop_order raised on first attempt — APIError
2026-08-20 17:03|~|job_cancelled_error|~|nightly_data_pull: cancelled — process shutdown/restart mid-run; outcome unknown, check downstream tables
2026-08-20 17:11|~|theme_merge_adjudication_error|~|Arm B: adjudication failed for 'Defense Intelligence & Cybersecurity IT Contractors' × 'Emerging Defense & Aerospace Hardware Suppliers'
2026-08-20 17:11|~|theme_merge_adjudication_error|~|Arm B: adjudication failed for 'Drone & Advanced Aerial Defense Platforms' × 'Emerging Defense & Aerospace Hardware Suppliers'
2026-08-20 17:11|~|theme_merge_adjudication_error|~|Arm B: adjudication failed for 'Gateway & Coastal Office REIT Stress Reversal' × 'Office REIT Recovery & Re-Rating'
2026-08-20 17:11|~|theme_merge_adjudication_error|~|Arm B: adjudication failed for 'Rare Earth & Critical Minerals Mining' × 'Gold & Precious Metals Miners Rotation'
2026-08-20 17:11|~|theme_merge_adjudication_error|~|Arm B: adjudication failed for 'For-Profit Postsecondary & Vocational Education' × 'Defensive Consumer Staples Rotation'
2026-08-20 17:11|~|theme_merge_adjudication_error|~|Arm B: adjudication failed for 'Corporate Digital Asset Treasury Vehicles' × 'Private Equity & Alternative Asset Management Platforms'
2026-08-20 17:11|~|theme_merge_adjudication_error|~|Arm B: adjudication failed for 'Advanced Nuclear Fuel & Reactor Design Manufacturers' × 'Industrial Equipment & Flow Control – Capex Cycle Recovery'
2026-08-20 17:11|~|theme_merge_adjudication_error|~|Arm B: adjudication failed for 'Industrial Lifting, Material Handling & Equipment Rental' × 'Industrial Equipment & Flow Control – Capex Cycle Recovery'
2026-08-20 17:15|~|llm_truncation_live|~|theme_discovery response TRUNCATED at 8000 output tokens (model claude-sonnet-5)
2026-08-21 16:45|~|stop_update_failed|~|ABCL: place_stop_order raised on first attempt — APIError
2026-08-21 17:03|~|llm_truncation_live|~|theme_validation response TRUNCATED at 1000 output tokens (model claude-sonnet-5)
2026-08-21 17:03|~|validation_error|~|Validation parse error for 'U.S. Oil & Gas E&P Rotation' — tickers unchanged
2026-08-21 17:10|~|llm_truncation_live|~|theme_discovery response TRUNCATED at 8000 output tokens (model claude-sonnet-5)
2026-08-21 17:52|~|llm_truncation_check|~|0 caller(s) truncating, 0 not reporting stop_reason, 1 within 10% of their ceiling
2026-08-23 17:52|~|llm_truncation_check|~|0 caller(s) truncating, 0 not reporting stop_reason, 1 within 10% of their ceiling
(109 rows)
