ticker,alert_date,ep_score,gap_pct,catalyst_quality,day1_class,d1_status,d1_pnl,d1_skip_reason,d1_mode,d1_closed_at,d1_entry,next_9m_ep_date,next_day2_date,next_flag_date,next_flag_date_incl_tightening,flag_rows_in_window,first_flag_scan_in_window,next_ep_date,max_high_21d,d0_open,r3_rows
FET,2026-07-31,84,16.04,strong,SKIPPED,skipped,0,block:circuit_breaker: cooldown until 2026-07-31T13:37:50.539792+00:00,live,,,,,,,14,2026-08-04,,87.42,61.42,0
FLNC,2026-07-31,60,10.02,game_changer,SKIPPED,skipped,0,block:circuit_breaker: cooldown until 2026-07-31T13:37:50.539792+00:00,live,,,,,,,1,2026-08-04,,15.84,15.125,0
MPWR,2026-07-31,60,13.96,game_changer,SKIPPED,skipped,0,block:circuit_breaker: cooldown until 2026-07-31T13:37:50.539792+00:00,live,,,,,,,0,,,1464.99,1499,0
NWL,2026-07-31,60,13.42,game_changer,SKIPPED,skipped,0,block:circuit_breaker: cooldown until 2026-07-31T13:37:50.539792+00:00,live,,,,,2026-08-13,2026-08-11,14,2026-08-04,,6.64,6.6,0
FTK,2026-08-03,60,10.45,game_changer,NO_TRADE_ROW,,,,,,,,,,,11,2026-08-05,,39.67,25.1,0
LIND,2026-08-03,70,15.55,strong,NO_TRADE_ROW,,,,,,,,,,,10,2026-08-04,,35,31,0
AEIS,2026-08-04,84,15.39,strong,SKIPPED,skipped,0,block:max_positions: 5/5 (mode=live),live,,,,,,,7,2026-08-05,,350.69,337.27,0
AMRC,2026-08-04,50,38.72,routine,SKIPPED,skipped,0,window:out_of_orb: detected 09:45 ET,live,,,,,,,11,2026-08-05,,28.82,31.93,0
BLZE,2026-08-04,80,19.14,game_changer,LOST_DAY1,closed,-36.79410000000004,block:r3_reentry_disabled,live,2026-08-04 19:50:00.523877+00,21.8121,,,,,13,2026-08-05,,20.91,20.16,1
BTDR,2026-08-04,80,24.1,game_changer,LOST_DAY1,closed,-28.119999999999926,block:r3_reentry_disabled,live,2026-08-04 13:46:20.105029+00,12.85,2026-08-05,,,,15,2026-08-05,,12.25,12.785,1
CAT,2026-08-04,60,10,game_changer,NO_ENTRY,cancelled,0,ORB window unfilled,live,,934.9994,,,,,0,,,905.72,922,0
LIFE,2026-08-04,80,16.29,game_changer,NO_ENTRY,cancelled,0,ORB window unfilled,live,,28.79,,,2026-08-20,2026-08-20,15,2026-08-05,,38.94,27.33,0
PLTR,2026-08-04,96,15.96,game_changer,WON_DAY1,closed,118.60200000000003,,live,2026-08-19 14:03:18.965774+00,149.0545,,,,,14,2026-08-05,,182.44,145.145,0
TSAT,2026-08-04,60,14.46,game_changer,SKIPPED,skipped,0,window:out_of_orb: detected 09:56 ET,live,,,,,,,9,2026-08-06,,61.5399,44,0
VOYG,2026-08-04,80,16.96,game_changer,SKIPPED,skipped,0,setup:zero_range: open=high=low=$33.99,live,,,,,2026-08-21,2026-08-21,14,2026-08-05,,45.4,33.99,0
ZBRA,2026-08-04,60,10.75,game_changer,SKIPPED,skipped,0,block:max_positions: 5/5 (mode=live),live,,,,,,,14,2026-08-05,,386.23,330.1,0
APPS,2026-08-05,115.2,28.29,strong,SKIPPED,skipped,0,block:circuit_breaker: cooldown until 2026-08-05T19:50:00.523877+00:00,live,,,,,2026-08-13,2026-08-13,14,2026-08-06,,15.335,11.95,0
ECG,2026-08-05,72,10.96,game_changer,SKIPPED,skipped,0,window:out_of_orb: detected 09:51 ET,live,,,,,,,3,2026-08-06,,145.99,147.16,0
HGTY,2026-08-05,60.5,11.69,strong,SKIPPED,skipped,0,window:out_of_orb: detected 09:55 ET,live,,,,,,,0,,,13.94,12.66,0
KMT,2026-08-05,72,14.39,game_changer,SKIPPED,skipped,0,block:circuit_breaker: cooldown until 2026-08-05T19:50:00.523877+00:00,live,,,,,,,0,,,34.53,40.5,0
KODK,2026-08-05,54.7,10.86,strong,SKIPPED,skipped,0,block:circuit_breaker: cooldown until 2026-08-05T19:50:00.523877+00:00,live,,,,,,,0,,,10.31,10.025,0
KTOS,2026-08-05,64.8,11.26,strong,SKIPPED,skipped,0,block:circuit_breaker: cooldown until 2026-08-05T19:50:00.523877+00:00,live,,,,,,,12,2026-08-06,,67.1,58.87,0
TATT,2026-08-05,61.9,11.79,strong,SKIPPED,skipped,0,block:circuit_breaker: cooldown until 2026-08-05T19:50:00.523877+00:00,live,,,,,,,0,,,43.46,49.28,0
AEVA,2026-08-06,96,22.28,strong,SKIPPED,skipped,0,setup:stop_too_wide: ORB range $3.08 (13.4%) > 1.5x ATR $2.33,live,,,,,,,10,2026-08-07,,28.3,25.8,0
CAI,2026-08-06,50.4,17.11,routine,SKIPPED,skipped,0,window:out_of_orb: detected 09:53 ET,live,,,,,,,15,2026-08-07,,28.32,19,0
DCTH,2026-08-06,54,21.3,routine,SKIPPED,skipped,0,window:out_of_orb: detected 09:56 ET,live,,,,,,,0,,,17.42,14.03,0
INSM,2026-08-06,96,16.14,game_changer,NO_ENTRY,cancelled,0,broker:entry_rejected: last $128.96 at/below trigger $129.41 at event,live,,129.41,,,,,14,2026-08-07,,135.5,128.22,0
LFST,2026-08-06,96,18.8,game_changer,SKIPPED,skipped,0,"setup:gap_below_floor: rt -2.0% < 10% floor (alert said 18.8%, last $10.16 vs prev close $10.37)",live,,,2026-08-10,,,,14,2026-08-10,,12.965,10.99,0
RDW,2026-08-06,64.8,12.46,strong,NO_ENTRY,cancelled,0,ORB window unfilled,live,,12.75,,,,,13,2026-08-07,,14.19,12.24,0
SITM,2026-08-06,96,28.88,game_changer,SKIPPED,skipped,0,setup:size_too_small: $48 risk / $48.88 per-share < 1 share,live,,,,,,,12,2026-08-07,,762.6499,684.88,0
U,2026-08-06,96,18.41,game_changer,SKIPPED,skipped,0,"setup:gap_below_floor: rt 1.0% < 10% floor (alert said 18.4%, last $35.83 vs prev close $35.47)",live,,,,,,,15,2026-08-07,,48.46,36.01,0
ACMR,2026-08-07,100.8,15.09,strong,SKIPPED,skipped,0,"setup:gap_below_floor: rt 6.6% < 10% floor (alert said 15.1%, last $84.19 vs prev close $78.98)",live,,,,,,,2,2026-08-18,,88.81,92.55,0
FIGS,2026-08-07,96,26.69,game_changer,LOST_DAY1,closed,-6.838002000000003,block:r3_reentry_disabled,live,2026-08-07 13:51:02.672915+00,15.495082,,,,,15,2026-08-10,,15.61,15.2,1
FROG,2026-08-07,100.8,17.51,strong,NO_ENTRY,cancelled,0,ORB window unfilled,live,,96.255,,,,,11,2026-08-13,,105.7598,96.255,0
MTW,2026-08-07,50.4,33.08,routine,SKIPPED,skipped,0,window:out_of_orb: detected 09:52 ET,live,,,,,,,0,,,21.34,17.14,0
NET,2026-08-07,100.8,15.67,strong,LOST_DAY1,closed,-15.389999999999986,block:r3_reentry_disabled,live,2026-08-07 14:32:01.073202+00,316.13,,,,,11,2026-08-10,,332.22,318,1
ONTO,2026-08-07,96,15.31,game_changer,SKIPPED,skipped,0,window:out_of_orb: detected 09:52 ET,live,,,,,,,11,2026-08-10,,353.8362,300,0
QNST,2026-08-07,96,27.92,game_changer,NO_ENTRY,cancelled,0,broker:entry_cancelled: last $19.59 at/below trigger $19.80 at event,live,,19.8,,,,,14,2026-08-10,,22.29,19.69,0
TEAM,2026-08-07,115.2,31.66,strong,LOST_DAY1,closed,-23.940000000000055,block:r3_reentry_disabled,live,2026-08-07 13:43:54.13041+00,147.13,,,2026-08-19,2026-08-19,15,2026-08-10,,194.96,145.135,1
TWLO,2026-08-07,84,17.97,strong,SKIPPED,skipped,0,block:max_positions: 5/5 (mode=live),live,,,,,,,14,2026-08-10,,258.3525,235.25,0
ABCL,2026-08-10,96,17.6,game_changer,WON_DAY1,closed,127.76979999999998,,live,2026-08-24 13:32:11.190839+00,8.96,,,2026-08-25,2026-08-25,15,2026-08-11,,12.5799,8.76,0
ACHR,2026-08-10,54,14.85,routine,SKIPPED,skipped,0,window:out_of_orb: detected 09:45 ET,live,,,,,,,13,2026-08-11,,7.29,6.41,0
NESR,2026-08-10,53.3,11.99,strong,SKIPPED,skipped,0,window:out_of_orb: detected 09:45 ET,live,,,,,,,14,2026-08-11,,36.94,32,0
TH,2026-08-10,50.4,12.17,strong,SKIPPED,skipped,0,"setup:gap_below_floor: rt -5.0% < 10% floor (alert said 12.2%, last $15.68 vs prev close $16.51)",live,,,,,,,9,2026-08-18,,19.65,15.53,0
BW,2026-08-11,96,34.91,game_changer,LOST_DAY1,closed,-49.60000000000008,block:r3_reentry_disabled,live,2026-08-11 13:31:56.783978+00,12.07,,,,,10,2026-08-12,,10.6,11.86,1
FRMI,2026-08-11,96,17.01,game_changer,LOST_DAY1,closed,-31.490000000000045,block:r3_reentry_disabled,live,2026-08-11 13:31:40.487398+00,7.29,2026-08-12,,,,11,2026-08-12,,7.675,7.07,1
RIOT,2026-08-11,115.2,17.92,game_changer,NO_ENTRY,cancelled,0,ORB window unfilled,live,,23.66,2026-08-12,,,,11,2026-08-12,,22.21,23.57,0
SE,2026-08-11,54.7,10.58,strong,SKIPPED,skipped,0,"setup:gap_below_floor: rt 9.2% < 10% floor (alert said 10.6%, last $125.36 vs prev close $114.80)",live,,,,,,,10,2026-08-12,,131.9,127.87,0
ATRO,2026-08-12,72,11.29,game_changer,SKIPPED,skipped,0,setup:stop_too_wide: ORB range $5.75 (7.2%) > 1.5x ATR $5.29,live,,,,,,,7,2026-08-13,,94.46,84.22,0
BE,2026-08-12,84,15.16,strong,SKIPPED,skipped,0,window:out_of_orb: detected 09:50 ET,live,,,2026-08-25,,,,15,2026-08-13,,253.31,236.71,0
CRWV,2026-08-12,51.6,19.51,routine,SKIPPED,skipped,0,window:out_of_orb: detected 09:50 ET,live,,,,,,,10,2026-08-13,,117.49,108.7,0
EROC,2026-08-12,96,16.09,game_changer,NO_ENTRY,cancelled,0,"setup:chase_cap_exceeded: limit $13.50 risk $0.75/sh vs planned $0.41/sh (cap 1.50x, ORB high $13.16)",live,,13.16,,,,,0,,,17.75,13.12,0
GLBE,2026-08-12,72,10.67,game_changer,SKIPPED,skipped,0,"setup:gap_below_floor: rt 4.8% < 10% floor (alert said 10.7%, last $42.81 vs prev close $40.86)",live,,,,,,,2,2026-08-13,,42.745,41.06,0
MRX,2026-08-12,53.3,12.45,strong,SKIPPED,skipped,0,window:out_of_orb: detected 09:55 ET,live,,,,,,,9,2026-08-18,,75.4,62.6,0
CGEM,2026-08-13,72,12.24,game_changer,SKIPPED,skipped,0,infra:no_bar: 3 retries exhausted,live,,,,,,,15,2026-08-14,,23.19,20.72,0
CRMD,2026-08-13,64.8,10,strong,SKIPPED,skipped,0,infra:no_bar: 3 retries exhausted,live,,,,,,,1,2026-08-25,,8.745,8.39,0
HLIT,2026-08-13,96,23.79,game_changer,SKIPPED,skipped,0,infra:no_bar: 3 retries exhausted,live,,,,,,,10,2026-08-14,,13.9822,14.48,0
KURA,2026-08-13,60.5,13.43,strong,SKIPPED,skipped,0,window:out_of_orb: detected 09:51 ET,live,,,,,,,13,2026-08-18,,13.9,10.605,0
OMER,2026-08-13,60,22.54,routine,SKIPPED,skipped,0,window:out_of_orb: detected 09:45 ET,live,,,,,2026-08-19,2026-08-19,15,2026-08-14,,19.6497,16.65,0
ETON,2026-08-14,96,23.28,game_changer,WON_DAY1,closed,19.323599999999942,block:r3_reentry_disabled,live,2026-08-14 13:45:11.151019+00,55.2012,,,2026-08-21,2026-08-21,14,2026-08-17,,66.37,54.93,1
HTFL,2026-08-14,96,25.12,game_changer,SKIPPED,skipped,0,setup:stop_too_wide: ORB range $2.55 (7.0%) > 1.5x ATR $2.19,live,,,,,2026-08-31,2026-08-31,15,2026-08-17,,51.778,39.06,0
NMAX,2026-08-14,100.8,16.75,strong,SKIPPED,skipped,0,window:out_of_orb: detected 09:50 ET,live,,,,,,,0,,,11.78,9.895,0
VERA,2026-08-14,86.4,14.23,game_changer,SKIPPED,skipped,0,"setup:gap_below_floor: rt 5.6% < 10% floor (alert said 14.2%, last $30.50 vs prev close $28.89)",live,,,,,,,8,2026-08-25,,36.96,31.29,0
ARGX,2026-08-17,86.4,10.53,game_changer,SKIPPED,skipped,0,"setup:gap_below_floor: rt 9.5% < 10% floor (alert said 10.5%, last $931.98 vs prev close $851.29)",live,,,,,,,14,2026-08-18,,1072.75,927.33,0
AMLX,2026-08-18,96,21.33,game_changer,WON_DAY1,closed,62.92049600000003,,live,2026-08-31 13:32:51.994395+00,30.211219,,,2026-08-27,2026-08-27,15,2026-08-19,,41.14,29.91,0
MRNA,2026-08-19,115.2,33.1,strong,WON_DAY1,closed,90.79059999999998,,live,2026-09-03 13:32:47.915582+00,120.75,2026-09-01,2026-09-01,,,15,2026-08-20,,161.37,116.02,0
MRVL,2026-08-19,69.1,11.38,strong,LOST_DAY1,closed,-43.27999999999997,block:r3_reentry_disabled,live,2026-08-19 14:03:04.536415+00,241.5,,,,,7,2026-08-20,,254.6,240.13,1
TWST,2026-08-19,84,16.7,strong,SKIPPED,skipped,0,window:out_of_orb: detected 09:55 ET,live,,,,,,,13,2026-08-20,,155.44,128,0
BULL,2026-08-20,100.8,15.16,strong,SKIPPED,skipped,0,setup:stop_too_wide: ORB range $0.54 (5.7%) > 1.5x ATR $0.52,live,,,2026-08-21,,,,15,2026-08-21,,10.19,9.94,0
RARE,2026-08-20,72,11.39,game_changer,SKIPPED,skipped,0,infra:no_bar: 3 retries exhausted,live,,,2026-09-04,,,,5,2026-09-04,,26.915,28.39,0
UUUU,2026-08-21,51.6,9.28,strong,SKIPPED,skipped,0,window:out_of_orb: detected 09:55 ET,live,,,,,,,11,2026-08-24,,16.5,14.63,0
CHRN,2026-08-27,105,12.2,game_changer,SKIPPED,skipped,0,window:out_of_orb: detected 09:50 ET,live,,,,,,,0,,,22.22,22.36,0
CRWD,2026-08-27,75,9.42,strong,WON_DAY1,closed,14.402600000000007,,live,2026-08-28 14:00:07.28177+00,213.3058,2026-08-31,2026-09-14,,,15,2026-08-28,,250.32,208.25,0
DG,2026-08-27,70.5,10.92,strong,SKIPPED,skipped,0,"setup:gap_below_floor: rt 3.6% < 9% floor (alert said 10.9%, last $127.26 vs prev close $122.78)",live,,,,,,,8,2026-09-01,,134.125,127.84,0
OKTA,2026-08-27,90,20.15,game_changer,filled,filled,0,,live,,167.879,,,,,15,2026-08-28,,192.59,166.15,0
VEEV,2026-08-27,85.5,15.1,strong,SKIPPED,skipped,0,window:out_of_orb: detected 09:50 ET,live,,,,,,,13,2026-08-28,,290.47,275.355,0
SOLS,2026-08-28,67.5,16.26,strong,LOST_DAY1,closed,-49.19999999999993,,live,2026-08-31 16:03:29.957844+00,66.77,,,,,14,2026-08-31,,65.68,65,0
AGX,2026-09-03,65,9.57,strong,SKIPPED,skipped,0,"setup:gap_below_floor: rt 3.0% < 9% floor (alert said 9.6%, last $422.86 vs prev close $410.40)",live,,,,,,,0,,,444.5267,427.27,0
HOOD,2026-09-03,77.5,9.77,strong,LOST_DAY1,closed,-27.400000000000034,,live,2026-09-15 13:30:00.274914+00,118.37,,,,,10,2026-09-04,,126.74,113.8,0
SNOW,2026-09-03,77.5,23.79,strong,NO_ENTRY,cancelled,0,ORB window unfilled,live,,384.56,,,,,14,2026-09-04,,356.83,377.245,0
